gender,nationality,place_of_birth,education_stage,grade,classroom_id,subject,semester,parent_involved,raised_hands,resource_visits,announcements_viewed,discussion_participation,parent_answered_survey,parent_school_satisfaction,absence_category,pass_fail_status
male,kuwait,kuwait,lowerschool,g-04,a,it,first,father,15,16,2,20,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-04,a,it,first,father,20,20,3,25,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-04,a,it,first,father,10,7,0,30,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-04,a,it,first,father,30,25,5,35,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-04,a,it,first,father,40,50,12,50,no,bad,high,pass
female,kuwait,kuwait,lowerschool,g-04,a,it,first,father,42,30,13,70,yes,bad,high,pass
male,kuwait,kuwait,middleschool,g-07,a,math,first,father,35,12,0,17,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-07,a,math,first,father,50,10,15,22,yes,good,low,pass
female,kuwait,kuwait,middleschool,g-07,a,math,first,father,12,21,16,50,yes,good,low,pass
female,kuwait,kuwait,middleschool,g-07,b,it,first,father,70,80,25,70,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-07,a,math,first,father,50,88,30,80,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-07,b,math,first,father,19,6,19,12,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-04,a,it,first,father,5,1,0,11,no,bad,high,fail
male,lebanon,lebanon,middleschool,g-08,a,math,first,father,20,14,12,19,no,bad,high,fail
female,kuwait,kuwait,middleschool,g-08,a,math,first,mum,62,70,44,60,no,bad,high,pass
female,kuwait,kuwait,middleschool,g-06,a,it,first,father,30,40,22,66,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-07,b,it,first,father,36,30,20,80,no,bad,high,pass
male,kuwait,kuwait,middleschool,g-07,a,math,first,father,55,13,35,90,no,bad,high,pass
female,kuwait,kuwait,middleschool,g-07,a,it,first,mum,69,15,36,96,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-07,b,it,first,mum,70,50,40,99,yes,good,low,pass
female,kuwait,kuwait,middleschool,g-07,a,it,first,father,60,60,33,90,no,bad,high,pass
female,kuwait,kuwait,middleschool,g-07,b,it,first,father,10,12,4,80,no,bad,low,pass
male,kuwait,kuwait,middleschool,g-07,a,it,first,father,15,21,2,90,no,bad,low,pass
male,kuwait,kuwait,middleschool,g-07,a,it,first,father,2,0,2,50,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-07,b,it,first,father,0,2,3,70,yes,good,high,fail
male,kuwait,kuwait,middleschool,g-07,a,it,first,father,8,7,30,40,yes,good,high,fail
male,kuwait,kuwait,middleschool,g-07,b,it,first,father,19,19,25,40,yes,bad,low,pass
male,kuwait,kuwait,middleschool,g-08,a,arabic,first,father,25,15,12,33,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-08,a,science,first,father,75,85,52,43,yes,good,low,pass
female,kuwait,kuwait,middleschool,g-08,a,arabic,first,father,30,90,33,35,no,bad,low,pass
female,kuwait,kuwait,middleschool,g-08,a,arabic,first,father,35,80,50,70,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-07,a,it,first,father,4,5,40,16,yes,good,high,fail
female,kuwait,kuwait,lowerschool,g-07,a,it,first,father,2,19,10,50,yes,good,high,fail
male,kuwait,kuwait,lowerschool,g-05,a,english,first,father,8,22,9,40,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-07,b,science,first,father,12,11,8,40,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-07,a,english,first,father,10,12,17,30,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-07,b,science,first,mum,8,6,4,22,yes,good,high,fail
female,egypt,egypt,middleschool,g-07,a,it,first,father,45,54,26,90,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-06,a,it,first,father,0,0,0,4,no,bad,high,fail
female,saudiarabia,saudiarabia,middleschool,g-07,b,science,first,father,50,90,37,70,yes,good,low,pass
female,kuwait,kuwait,middleschool,g-07,a,it,first,father,14,13,3,70,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-07,a,it,first,father,19,20,16,50,no,good,low,pass
male,kuwait,kuwait,highschool,g-09,a,it,first,father,10,12,7,33,yes,good,high,fail
female,kuwait,kuwait,highschool,g-09,a,it,first,father,30,35,28,90,yes,good,low,pass
female,kuwait,kuwait,highschool,g-09,a,it,first,father,33,33,30,90,no,bad,low,pass
male,kuwait,kuwait,middleschool,g-07,a,quran,first,father,20,12,15,70,no,good,high,fail
male,kuwait,kuwait,lowerschool,g-05,a,english,first,father,7,10,1,30,no,bad,high,fail
female,kuwait,kuwait,highschool,g-12,a,english,first,mum,70,4,39,90,yes,good,low,pass
female,kuwait,kuwait,highschool,g-12,a,english,first,mum,13,80,40,88,yes,good,low,pass
female,kuwait,kuwait,highschool,g-12,a,english,first,father,29,39,50,77,yes,good,low,pass
female,kuwait,kuwait,highschool,g-12,a,english,first,father,20,14,12,70,no,bad,high,fail
male,kuwait,kuwait,highschool,g-12,a,english,first,father,39,15,16,50,no,good,high,fail
female,kuwait,kuwait,highschool,g-12,a,english,first,father,55,90,16,40,no,bad,low,pass
female,kuwait,kuwait,highschool,g-11,a,science,first,mum,49,70,19,75,yes,good,low,pass
male,kuwait,kuwait,highschool,g-12,a,english,first,mum,12,50,8,30,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-07,a,math,first,father,16,14,6,20,yes,good,high,fail
male,usa,usa,middleschool,g-08,b,math,first,father,19,5,4,1,yes,good,high,fail
male,kuwait,kuwait,middleschool,g-07,a,math,first,father,5,2,6,5,yes,good,high,fail
male,kuwait,kuwait,middleschool,g-07,a,math,first,father,28,60,19,50,yes,good,low,pass
female,usa,usa,middleschool,g-07,a,math,first,father,27,22,22,40,no,good,low,pass
female,jordan,jordan,lowerschool,g-05,a,english,first,mum,21,10,28,20,no,good,high,fail
male,kuwait,kuwait,highschool,g-10,a,it,first,father,50,70,32,40,yes,good,low,pass
male,venzuela,venzuela,highschool,g-10,a,it,first,mum,80,90,70,80,yes,good,low,pass
male,kuwait,kuwait,highschool,g-10,a,it,first,father,17,13,16,12,yes,bad,low,pass
male,kuwait,kuwait,highschool,g-10,a,it,first,father,0,5,7,2,no,bad,high,fail
male,kuwait,kuwait,highschool,g-12,a,english,first,father,13,5,18,19,no,bad,high,fail
female,kuwait,kuwait,highschool,g-12,a,english,first,father,25,10,19,30,no,bad,high,pass
female,usa,usa,highschool,g-12,a,english,first,mum,65,75,23,80,yes,good,low,pass
female,usa,usa,highschool,g-12,a,it,first,mum,70,69,35,30,yes,good,low,pass
male,jordan,jordan,middleschool,g-07,a,it,first,father,39,40,11,33,no,bad,low,pass
male,jordan,jordan,middleschool,g-07,a,it,first,father,22,30,10,12,yes,good,high,fail
male,kuwait,kuwait,middleschool,g-07,a,it,first,father,29,22,9,20,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-07,a,math,first,father,11,2,2,8,no,bad,low,fail
female,kuwait,kuwait,middleschool,g-07,a,english,first,father,19,30,26,19,yes,bad,high,pass
male,kuwait,kuwait,middleschool,g-07,b,it,first,father,12,0,6,13,no,bad,low,fail
male,jordan,jordan,middleschool,g-07,a,quran,first,mum,50,90,29,60,yes,good,low,pass
male,iran,iran,highschool,g-09,a,it,first,mum,15,70,37,44,yes,good,low,pass
male,kuwait,kuwait,highschool,g-09,a,it,first,father,20,80,33,33,yes,good,low,pass
male,kuwait,kuwait,highschool,g-11,a,quran,first,father,13,3,11,9,no,bad,high,fail
female,lebanon,lebanon,middleschool,g-07,b,math,first,mum,80,90,49,55,yes,bad,low,pass
male,kuwait,kuwait,middleschool,g-07,a,math,first,father,8,15,10,40,yes,bad,low,fail
male,kuwait,kuwait,lowerschool,g-02,a,it,first,father,8,25,1,70,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,7,5,2,80,yes,good,high,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,7,4,10,50,no,good,high,pass
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,50,70,50,10,yes,good,high,pass
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,1,0,1,12,no,bad,high,fail
male,saudiarabia,saudiarabia,lowerschool,g-02,b,it,first,father,70,12,40,50,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,19,70,3,50,no,bad,low,fail
female,kuwait,kuwait,lowerschool,g-02,b,it,first,father,3,12,4,33,no,bad,low,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,5,20,1,50,yes,good,high,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,4,8,10,60,yes,good,high,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,80,90,55,19,yes,good,low,pass
female,kuwait,kuwait,lowerschool,g-02,b,it,first,father,50,70,19,15,yes,good,low,pass
male,usa,usa,lowerschool,g-02,b,it,first,father,55,89,40,40,yes,good,low,pass
female,kuwait,kuwait,lowerschool,g-02,b,it,first,father,80,44,35,10,no,good,high,fail
female,kuwait,kuwait,lowerschool,g-02,b,it,first,father,100,80,2,70,no,bad,low,pass
female,kuwait,kuwait,lowerschool,g-02,c,it,first,father,14,60,11,75,yes,good,low,pass
female,kuwait,kuwait,lowerschool,g-02,b,it,first,father,6,2,38,12,no,bad,low,pass
female,kuwait,kuwait,lowerschool,g-02,c,it,first,father,10,3,0,30,no,bad,low,pass
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,50,7,9,50,yes,bad,high,pass
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,50,90,40,90,yes,bad,low,pass
female,kuwait,kuwait,lowerschool,g-02,b,it,first,mum,70,92,50,7,yes,good,low,pass
female,kuwait,kuwait,lowerschool,g-02,b,it,first,father,2,6,2,8,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,1,7,6,10,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,0,12,3,3,yes,good,high,pass
female,kuwait,kuwait,lowerschool,g-02,b,it,first,father,0,0,5,80,yes,good,high,fail
female,kuwait,kuwait,lowerschool,g-02,b,it,first,father,12,26,7,40,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,70,90,41,33,yes,bad,low,pass
male,saudiarabia,saudiarabia,lowerschool,g-02,b,it,first,father,7,12,5,3,no,bad,high,pass
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,90,70,30,14,no,bad,low,pass
female,jordan,jordan,lowerschool,g-02,b,it,first,mum,70,88,55,40,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,c,it,first,father,77,80,51,80,no,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,2,5,3,50,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,25,27,0,69,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,11,2,0,50,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,0,8,11,70,yes,good,high,fail
female,kuwait,kuwait,lowerschool,g-02,c,it,first,mum,77,80,12,19,yes,good,high,pass
female,kuwait,kuwait,lowerschool,g-02,c,it,first,mum,25,29,40,17,no,good,low,pass
female,kuwait,kuwait,lowerschool,g-02,c,it,first,mum,24,35,23,22,yes,good,high,pass
male,kuwait,kuwait,lowerschool,g-02,c,it,first,father,60,60,3,60,no,bad,low,pass
male,kuwait,kuwait,lowerschool,g-02,c,it,first,mum,21,12,0,50,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,c,it,first,mum,0,4,8,30,no,bad,high,fail
female,kuwait,kuwait,lowerschool,g-02,b,it,first,father,66,90,55,12,yes,good,high,pass
female,lebanon,lebanon,lowerschool,g-02,b,it,first,father,70,98,7,5,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,c,it,first,father,0,6,4,15,yes,bad,low,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,12,30,0,17,no,good,high,fail
female,iran,iran,lowerschool,g-02,c,it,first,father,2,9,7,55,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,55,33,6,9,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-02,c,it,first,father,12,10,20,16,no,bad,low,fail
male,kuwait,kuwait,lowerschool,g-02,b,it,first,father,70,90,2,2,yes,good,low,fail
female,kuwait,kuwait,lowerschool,g-02,c,it,first,father,7,9,5,30,no,bad,high,fail
male,jordan,jordan,lowerschool,g-02,c,it,first,father,80,42,20,50,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,c,it,second,father,0,3,10,3,no,bad,high,fail
male,kuwait,kuwait,lowerschool,g-02,a,it,second,father,12,60,0,70,yes,good,high,fail
male,kuwait,kuwait,middleschool,g-07,a,quran,second,father,80,80,15,70,yes,good,low,pass
female,egypt,egypt,middleschool,g-07,a,quran,second,mum,70,80,95,70,yes,good,low,pass
female,kuwait,usa,highschool,g-11,a,quran,second,mum,70,80,95,70,yes,good,low,pass
female,kuwait,usa,highschool,g-11,a,quran,first,mum,60,80,50,40,no,bad,low,pass
female,jordan,egypt,middleschool,g-07,a,quran,first,mum,100,80,95,90,no,bad,low,pass
male,jordan,usa,middleschool,g-07,a,quran,first,mum,100,85,85,70,no,bad,low,pass
male,tunis,tunis,middleschool,g-07,a,quran,first,father,10,60,5,20,yes,bad,high,fail
male,tunis,tunis,middleschool,g-07,a,quran,second,father,19,65,50,10,no,bad,high,fail
male,tunis,tunis,middleschool,g-07,a,quran,second,father,10,75,55,11,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-07,a,quran,second,father,80,90,55,19,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-07,a,quran,second,father,10,10,15,19,no,bad,high,fail
male,tunis,saudiarabia,middleschool,g-07,a,quran,second,father,70,75,55,11,yes,bad,low,pass
female,lebanon,lebanon,middleschool,g-07,a,quran,second,mum,100,75,50,70,yes,good,low,pass
female,lebanon,lebanon,middleschool,g-07,a,quran,second,father,10,79,30,30,no,bad,low,pass
female,jordan,jordan,middleschool,g-07,a,quran,second,father,60,55,30,40,no,bad,low,pass
female,jordan,lebanon,middleschool,g-07,a,quran,second,mum,100,75,50,70,yes,bad,low,pass
male,saudiarabia,saudiarabia,highschool,g-11,a,quran,second,father,80,80,51,59,yes,good,low,pass
male,saudiarabia,usa,highschool,g-11,a,science,second,father,23,63,71,89,yes,good,low,pass
female,saudiarabia,usa,highschool,g-11,b,science,second,father,100,91,98,40,yes,bad,low,pass
male,saudiarabia,usa,highschool,g-11,b,spanish,second,father,10,51,40,40,no,bad,high,fail
male,saudiarabia,usa,highschool,g-11,b,english,second,father,70,50,33,41,no,bad,high,pass
male,saudiarabia,usa,highschool,g-11,b,math,second,father,70,58,73,91,yes,bad,low,pass
female,tunis,usa,highschool,g-11,b,french,second,father,70,50,30,49,yes,good,low,pass
male,tunis,tunis,highschool,g-11,b,science,second,father,70,50,33,40,no,good,low,pass
male,tunis,kuwait,middleschool,g-07,b,science,second,father,22,51,48,10,no,bad,high,fail
female,kuwait,kuwait,middleschool,g-07,b,science,second,father,62,68,48,80,yes,good,low,pass
female,jordan,jordan,middleschool,g-07,b,science,second,mum,82,89,58,50,yes,good,low,pass
male,jordan,jordan,middleschool,g-07,b,science,second,mum,72,80,58,66,no,bad,low,pass
female,jordan,jordan,lowerschool,g-02,b,french,second,mum,70,82,3,73,no,bad,low,pass
female,jordan,usa,lowerschool,g-02,b,french,second,mum,60,82,93,43,no,bad,high,pass
male,jordan,jordan,lowerschool,g-02,b,french,second,mum,55,72,83,14,yes,good,high,pass
female,morocco,morocco,lowerschool,g-02,b,french,second,mum,72,65,73,66,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,b,french,second,mum,51,82,53,43,no,bad,low,pass
male,tunis,tunis,lowerschool,g-02,b,french,second,mum,80,92,83,43,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,b,french,second,mum,60,52,23,33,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,b,french,second,mum,30,12,29,23,no,bad,low,pass
male,kuwait,kuwait,lowerschool,g-02,b,french,second,father,40,62,83,33,yes,good,low,pass
male,kuwait,kuwait,lowerschool,g-02,b,french,second,mum,60,52,23,33,no,good,low,pass
male,iran,iran,lowerschool,g-02,b,french,second,mum,20,22,53,13,no,good,high,fail
male,syria,syria,lowerschool,g-02,b,french,second,mum,20,52,23,33,yes,good,high,fail
female,jordan,jordan,lowerschool,g-02,b,french,second,father,50,62,73,43,yes,bad,high,pass
male,iran,iran,lowerschool,g-02,b,french,second,father,10,2,13,53,no,bad,high,fail
male,tunis,tunis,lowerschool,g-02,b,french,second,mum,60,52,23,33,yes,bad,low,pass
female,usa,usa,lowerschool,g-02,b,french,second,mum,15,52,83,11,yes,bad,low,pass
female,lebanon,lebanon,lowerschool,g-02,b,french,second,mum,80,42,33,13,yes,bad,low,pass
male,lebanon,lebanon,lowerschool,g-02,b,french,second,mum,40,51,20,33,no,bad,low,pass
female,saudiarabia,saudiarabia,lowerschool,g-02,b,french,second,father,60,70,63,93,yes,bad,low,pass
male,jordan,jordan,lowerschool,g-02,b,french,second,father,50,62,13,33,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-08,a,arabic,second,mum,85,75,62,53,yes,bad,low,pass
female,lebanon,lebanon,middleschool,g-08,a,arabic,second,father,25,15,32,53,no,bad,low,pass
male,lebanon,lebanon,middleschool,g-08,a,arabic,second,mum,10,35,30,13,no,bad,high,fail
male,lebanon,jordan,middleschool,g-08,a,arabic,second,mum,87,65,82,33,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-08,a,arabic,second,mum,85,15,22,53,yes,good,low,pass
female,kuwait,kuwait,middleschool,g-08,a,arabic,second,father,80,71,52,51,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-08,a,arabic,second,mum,75,71,72,53,yes,good,low,pass
female,kuwait,kuwait,middleschool,g-08,a,arabic,second,father,85,66,12,23,no,bad,low,pass
male,kuwait,kuwait,middleschool,g-08,a,arabic,second,father,23,25,32,53,no,bad,low,fail
male,kuwait,kuwait,middleschool,g-08,a,arabic,second,father,15,25,37,13,yes,good,high,fail
male,kuwait,kuwait,middleschool,g-08,a,arabic,second,mum,95,91,62,53,yes,good,low,pass
male,morocco,morocco,middleschool,g-08,a,arabic,second,mum,81,75,62,53,no,bad,low,pass
male,morocco,morocco,middleschool,g-08,a,arabic,second,mum,53,75,72,23,no,bad,low,pass
male,kuwait,kuwait,middleschool,g-08,a,arabic,second,father,15,43,42,33,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-08,a,arabic,second,mum,92,65,62,53,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-08,a,arabic,second,mum,83,75,62,53,no,bad,low,pass
male,morocco,morocco,middleschool,g-08,b,arabic,second,father,27,15,42,53,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-08,b,arabic,second,father,45,95,12,13,no,bad,low,pass
male,kuwait,kuwait,middleschool,g-08,b,arabic,second,mum,15,90,52,83,yes,bad,low,pass
female,lebanon,lebanon,middleschool,g-08,a,arabic,second,mum,45,58,52,43,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-08,b,arabic,second,father,25,5,12,33,yes,good,low,pass
female,kuwait,kuwait,middleschool,g-08,b,arabic,second,father,22,51,42,40,yes,bad,low,pass
male,jordan,jordan,middleschool,g-08,b,arabic,second,father,29,10,12,24,no,bad,high,fail
female,saudiarabia,saudiarabia,middleschool,g-08,b,arabic,second,mum,72,51,42,24,yes,bad,high,pass
male,kuwait,kuwait,middleschool,g-08,b,arabic,second,father,67,31,42,14,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-08,c,spanish,second,father,17,21,42,14,yes,good,low,pass
male,tunis,tunis,middleschool,g-08,c,spanish,second,mum,27,41,49,14,no,bad,low,pass
male,kuwait,kuwait,middleschool,g-08,c,spanish,second,father,70,81,39,84,no,bad,low,pass
male,jordan,saudiarabia,middleschool,g-08,c,spanish,second,mum,27,90,82,14,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-08,c,spanish,second,father,17,61,42,14,no,bad,low,pass
male,tunis,tunis,middleschool,g-08,c,spanish,second,mum,87,81,42,19,yes,good,low,pass
male,tunis,tunis,middleschool,g-08,c,spanish,second,father,7,61,22,14,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-08,c,spanish,second,father,17,50,2,4,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-08,c,spanish,second,father,5,21,42,14,no,good,high,fail
male,iran,iran,middleschool,g-08,c,spanish,second,mum,27,41,32,61,yes,bad,high,pass
female,jordan,kuwait,middleschool,g-08,c,spanish,second,father,87,88,40,10,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-08,c,spanish,second,mum,96,61,42,94,yes,bad,low,pass
male,kuwait,kuwait,middleschool,g-08,c,spanish,second,mum,57,51,46,34,yes,good,low,pass
male,lebanon,lebanon,middleschool,g-08,c,spanish,second,father,77,69,41,13,yes,good,low,pass
male,lebanon,lebanon,middleschool,g-08,c,spanish,second,father,80,51,40,24,no,good,low,pass
male,kuwait,kuwait,middleschool,g-08,b,spanish,second,father,62,61,82,40,yes,bad,low,pass
male,kuwait,kuwait,middleschool,g-08,a,spanish,second,mum,72,83,12,90,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-08,b,spanish,second,mum,87,81,22,70,yes,bad,low,pass
male,kuwait,kuwait,middleschool,g-08,a,spanish,second,mum,72,90,12,30,no,bad,low,pass
male,kuwait,kuwait,middleschool,g-08,b,spanish,second,father,2,11,62,30,no,bad,low,fail
male,kuwait,kuwait,middleschool,g-08,a,spanish,second,father,5,3,2,10,yes,good,low,fail
male,kuwait,kuwait,highschool,g-11,b,math,second,mum,73,84,77,81,yes,good,high,pass
male,kuwait,kuwait,middleschool,g-08,a,spanish,second,father,5,17,21,10,no,bad,high,fail
male,iran,iran,middleschool,g-08,a,spanish,second,mum,51,42,12,29,no,bad,high,pass
male,syria,jordan,middleschool,g-08,a,spanish,second,father,9,7,21,20,yes,good,high,fail
male,syria,syria,middleschool,g-07,a,quran,first,father,19,72,15,50,yes,good,high,pass
female,jordan,jordan,middleschool,g-07,b,science,second,mum,32,80,58,46,yes,good,high,pass
male,kuwait,kuwait,middleschool,g-07,b,science,second,mum,32,60,58,66,yes,good,high,pass
male,kuwait,kuwait,middleschool,g-07,b,science,second,father,12,8,18,26,no,bad,high,fail
male,jordan,jordan,middleschool,g-07,b,science,second,father,52,10,13,6,no,bad,high,fail
male,kuwait,kuwait,middleschool,g-07,b,science,second,father,72,80,58,66,yes,good,high,pass
female,kuwait,kuwait,middleschool,g-07,b,science,second,mum,72,80,58,66,yes,good,high,pass
male,egypt,egypt,middleschool,g-07,b,science,second,mum,92,80,88,76,yes,good,low,pass
male,kuwait,kuwait,middleschool,g-07,b,science,second,mum,72,80,98,96,yes,bad,low,pass
